"County","Title","Category","GPS","Near","Directions","Text"
"Oklahoma","Pilgrim Rest","cemetery","35.535724,-97.432531","Oklahoma City, OK","6001-6399 College Oklahoma City, OK 73121","Small cemetery on NE 63rd and Sooner Ave."
"Oklahoma","Resurrection","cemetery","35.564221,-97.649968","Oklahoma City, OK","N/A","N/A"
"Oklahoma","Rogan","cemetery","35.536352,-97.433421","Oklahoma City, OK","4624-4974 NE 63rd St Oklahoma City, OK 73121","Small Cemetery off of NE 63rd between Coltrane and Sooner"
"Oklahoma","Rose Hill","cemetery","35.531131,-97.536964","Oklahoma City, OK","N/A","Oklahoma City area cemetery."
"Oklahoma","Schwartz","cemetery","35.376849,-97.316988","Midwest City, OK","S. Anderson and SE 89th St.","Small OKC area cemetery."
"Oklahoma","St. Josephs","cemetery","35.511589,-97.6452","Oklahoma City, OK","N/A","Oklahoma City area cemetery."
"Oklahoma","Trice Hill","cemetery","35.523575,-97.443974","Oklahoma City, OK","N/A","N/A"
"Oklahoma","Worley","cemetery","35.392139,-97.353981","Midwest City, OK","S. Post Rd & SE 74th","Small cemetery near Tinker AFB."
"Okmulgee","Creek Mine","cemetery","35.420577,-96.013649","Henryetta, OK","N/A","Small cemetery SW of Henryetta."
"Okmulgee","Edwards","cemetery","35.534542,-96.067936","Henryetta, OK","N/A","Small country cemetery."
"Okmulgee","Morris","cemetery","35.596052,-95.847609","Morris, OK","N/A","Morris community cemetery."
"Okmulgee","Okmulgee","cemetery","35.599751,-95.958931","Okmulgee, OK","N/A","Okmulgee community cemetery."
"Okmulgee","Renkie","cemetery","35.463279,-96.096321","Henryetta, OK","N/A","Small country cemetery."
"Okmulgee","Sharp","cemetery","35.570295,-96.01661","Okmulgee, OK","N/A","Small country cemetery."
"Okmulgee","Southwest","cemetery","35.58905,-95.99826","Okmulgee, OK","N/A","Small country cemetery."
"Okmulgee","West Lawn","cemetery","35.441313,-96.012104","Henryetta, OK","Follow W. Main in Henryetta to the medical center.  Cemetery is across the street from medical center.","Henryetta community cemetery."
"Okmulgee","Wilson","cemetery","35.496758,-96.035253","Henryetta, OK","N/A","Small country cemetery."
"Okmulgee","Woodlawn","cemetery","35.603555,-95.958588","Okmulgee, OK","1301 E. 28th street.","Okmulgee community cemetery."
"Osage","Fairfax","cemetery","36.452701,-96.589728","Fairfax, OK","West side of town on 8th St.","Fairfax community cemetery."
"Osage","Gray Horse","cemetery","36.5525,-96.640248","Fairfax, OK","5 miles SE of Fairfax on Co Rd 5451","Old cemetery for the Gray Horse community that now considered a ghost town."
"Osage","Morrel","cemetery","36.452701,-96.589728","Ralston, OK","On State Hwy 20 SE of Ralston","Osage County rural cemetery."
"Osage","Whitehorn","cemetery","36.45812,-96.591221","Ralston, OK","On State Hwy 20 SE of Ralston.","Osage County rural cemetery."
"Ottawa","Glen Abbey Memorial Gardens","cemetery","36.871896,-94.824715","Miami, OK","N/A","Miami area cemetery"
"Roger Mills","Berlin","cemetery","35.456975,-99.612265","Elk City, OK","About one mile east of the old Berlin town site and about 1/2 mile north on Ranch to Market Rd 23.","Berlin community cemetery.  Small country cemetery."
"Roger Mills","Cheyenne","cemetery","35.61133, -99.69458","Cheyenne","N/A","N/A"
"Roger Mills","Dempsy","cemetery","35.523016,-99.823923","Cheyenne, OK","South of Cheyenne on Ranch to Market Rd. 11 and E1030 County Rd.","Small country cemetery."
"Roger Mills","Fairview","cemetery","35.864105,-99.890399","Durham, OK","N/A","Small country cemetery."
"Roger Mills","Mulberry","cemetery","35.444599,-99.929667","Sweetwater, OK","N/A","Small country cemetery."
"Roger Mills","Silent Home","cemetery","35.797359,-99.746633","Roll, OK","N/A","Small country cemetery just west of Roll."
"Roger Mills","Strong","cemetery","35.66381, -99.606205","Strong City","N/A","N/A"
"Roger Mills","White Rose","cemetery","35.624308, -99.918512","Raydon","N/A","N/A"
"Sequoyah","Center Point","cemetery","35.319478,-94.628255","Muldrow, OK","N/A","Small country cemetery."
"Sequoyah","Cottonwood","cemetery","35.362677,-94.550149","Muldrow, OK","N/A","Small country cemetery."
"Sequoyah","Lees Chapel","cemetery","35.353262,-94.574311","Muldrow, OK","N/A","Small country cemetery."
"Sequoyah","Roland","cemetery","35.418526,-94.527379","Roland, OK","West side of Roland on Mayfield Rd.","Roland community cemetery"
"Texas","Elmhurst","cemetery","36.688254,-101.459212","Guymon, OK","On the east side of Guymon at the corner on Hurliman & Memory Lane.","Guymon area cemetery."
"Texas","Frisco","cemetery","36.562691,-101.527855","Guymon, OK","N/A","Small country cemetery SW of Guymon."
"Texas","Goodwell","cemetery","36.591348,-101.655293","Goodwell, OK","West of the town on County Rd 21.","Goodwell community cemetery."
"Tillman","Davidson","cemetery","34.2612, -99.071538","Davidson","N/A","N/A"
"Tillman","Frederick","cemetery","34.399166, -99.047549","Frederick","N/A","N/A"
"Tillman","Grandfield","cemetery","34.240732, -98.660924","Grandfield","N/A","N/A"
"Tillman","Hollister","cemetery","34.319839, -98.86258","Grandfield","N/A","N/A"
"Tillman","Tipton","cemetery","34.494578, -99.124238","Tipton","N/A","N/A"
"Tulsa","Bixby","cemetery","35.942248,-95.907483","Bixby, OK","N/A","Bixby community cemetery."
"Tulsa","Booker T. Washington","cemetery","36.03096,-95.929577","Tulsa, OK","N/A","Tulsa area cemetery."
"Tulsa","Memorial Park","cemetery","36.085742,-95.881555","Tulsa, OK","N/A","Tulsa area cemetery."
"Washita","Bethany","cemetery","35.442843, -98.676122","N/A","N/A","N/A"
"Washita","Brethern","cemetery","35.371438, -98.782908","Corn","N/A","N/A"
"Washita","Cordell","cemetery","35.302983, -98.96528","Cordell","N/A","N/A"
"Washita","Foss","cemetery","35.446535, -99.169618","Foss","N/A","N/A"
"Washita","Grissom","cemetery","35.182495, -99.077736","Rocky","N/A","N/A"
"Washita","High Point","cemetery","35.420919, -98.677474","N/A","N/A","N/A"
"Washita","Holy Family","cemetery","35.422641, -99.272098","Canute","N/A","N/A"
"Washita","Huckleby","cemetery","35.156138, -99.202028","Sentinel","N/A","N/A"
"Washita","Indian","cemetery","35.341011, -98.659299","Colony","N/A","N/A"
"Washita","Kerns","cemetery","35.443502, -99.133792","Foss","N/A","N/A"
"Washita","Lone Star","cemetery","35.188686, -99.059905","Rocky","N/A","N/A"
"Washita","Lutheran","cemetery","35.451009, -99.051045","Clinton","N/A","N/A"
"Washita","Missouri","cemetery","35.464168,-98.728693","Weatherford, OK","On State Hwy 54 a few miles south of Weatherford.","Small country cemetery."
"Washita","North Burns","cemetery","35.31988, -99.178821","Burns Flat","N/A","N/A"
"Washita","Novis","cemetery","35.363542, -99.179572","Burns Flat","N/A","N/A"
"Washita","Oakdale","cemetery","35.139376, -98.741838","Mountain View","N/A","N/A"
"Washita","Page","cemetery","35.392534, -99.186192","Foss","N/A","Small country cemetery north of Burns Flat."
